DID,Dist,PID,Dir,Apara,r,slope,cant,LW,RW
65,61.99,65,0,0,0,0,0,0,0
66,62.99,66,0,0,0,0,0,0,0
67,63.43,67,0,0,0,0,0,0,0
68,64.34,68,0,0,0,0,0,0,0
69,65.26,69,0,0,0,0,0,0,0
70,65.71,70,0,0,0,0,0,0,0
71,66.71,71,0,0,0,0,0,0,0
72,67.71,72,0,0,0,0,0,0,0
73,68.71,73,0,0,0,0,0,0,0
74,69.71,74,0,0,0,0,0,0,0
75,70.71,75,0,0,0,0,0,0,0
76,71.71,76,0,0,0,0,0,0,0
77,72.71,77,0,0,0,0,0,0,0
78,73.71,78,0,0,0,0,0,0,0
79,74.71,79,0,0,0,0,0,0,0
80,75.71,80,0,0,0,0,0,0,0
81,76.71,81,0,0,0,0,0,0,0
82,77.71,82,0,0,0,0,0,0,0
83,78.71,83,0,0,0,0,0,0,0
84,79.71,84,0,0,0,0,0,0,0
85,80.71,85,0,0,0,0,0,0,0
86,81.71,86,0,0,0,0,0,0,0
87,82.71,87,0,0,0,0,0,0,0
88,83.71,88,0,0,0,0,0,0,0
89,84.71,89,0,0,0,0,0,0,0
90,85.71,90,0,0,0,0,0,0,0
91,86.71,91,0,0,0,0,0,0,0
92,87.71,92,0,0,0,0,0,0,0
93,88.71,93,0,0,0,0,0,0,0
94,89.71,94,0,0,0,0,0,0,0
95,90.71,95,0,0,0,0,0,0,0
96,91.71,96,0,0,0,0,0,0,0
97,92.71,97,0,0,0,0,0,0,0
98,93.71,98,0,0,0,0,0,0,0
99,94.71,99,0,0,0,0,0,0,0
100,95.71,100,0,0,0,0,0,0,0
101,96.71,101,0,0,0,0,0,0,0
102,97.71,102,0,0,0,0,0,0,0
103,98.71,103,0,0,0,0,0,0,0
104,99.71,104,0,0,0,0,0,0,0
105,100.71,105,0,0,0,0,0,0,0
106,101.71,106,0,0,0,0,0,0,0
107,102.71,107,0,0,0,0,0,0,0
108,103.71,108,0,0,0,0,0,0,0
109,104.71,109,0,0,0,0,0,0,0
110,105.71,110,0,0,0,0,0,0,0
111,106.71,111,0,0,0,0,0,0,0
112,107.71,112,0,0,0,0,0,0,0
113,108.71,113,0,0,0,0,0,0,0
114,109.71,114,0,0,0,0,0,0,0
115,110.71,115,0,0,0,0,0,0,0
116,111.71,116,0,0,0,0,0,0,0
117,112.71,117,0,0,0,0,0,0,0
118,113.71,118,0,0,0,0,0,0,0
119,114.71,119,0,0,0,0,0,0,0
120,115.71,120,0,0,0,0,0,0,0
121,116.05,121,0,0,0,0,0,0,0
122,117.05,122,0,0,0,0,0,0,0
123,117.5,123,0,0,0,0,0,0,0
124,118.05,124,0,0,0,0,0,0,0
125,119.05,125,0,0,0,0,0,0,0
126,119.71,126,0,0,0,0,0,0,0
127,120.14,127,0,0,0,0,0,0,0
128,121.14,128,0,0,0,0,0,0,0
129,122.14,129,0,0,0,0,0,0,0
130,123.14,130,0,0,0,0,0,0,0
131,124.14,131,0,0,0,0,0,0,0
132,125.14,132,0,0,0,0,0,0,0
133,126.14,133,0,0,0,0,0,0,0
134,127.14,134,0,0,0,0,0,0,0
135,128.14,135,0,0,0,0,0,0,0
136,129.14,136,0,0,0,0,0,0,0
137,0,138,0,0,0,0,0,0,0
138,1.01,139,0,0,0,0,0,0,0
139,1.83,140,0,0,0,0,0,0,0
140,2.64,141,0,0,0,0,0,0,0
141,3.46,142,0,0,0,0,0,0,0
142,4.24,143,0,0,0,0,0,0,0
143,5.07,144,0,0,0,0,0,0,0
144,5.72,145,0,0,0,0,0,0,0
