DID,Dist,PID,Dir,Apara,r,slope,cant,LW,RW
64,63.01,64,0,0,0,0,0,0,0
65,64.01,65,0,0,0,0,0,0,0
66,65.01,66,0,0,0,0,0,0,0
67,66.01,67,0,0,0,0,0,0,0
68,66.17,68,0,0,0,0,0,0,0
69,67.17,69,0,0,0,0,0,0,0
70,68.17,70,0,0,0,0,0,0,0
71,69.17,71,0,0,0,0,0,0,0
72,70.17,72,0,0,0,0,0,0,0
73,71.17,73,0,0,0,0,0,0,0
74,72.17,74,0,0,0,0,0,0,0
75,73.17,75,0,0,0,0,0,0,0
76,74.17,76,0,0,0,0,0,0,0
77,75.17,77,0,0,0,0,0,0,0
78,76.17,78,0,0,0,0,0,0,0
79,77.07,79,0,0,0,0,0,0,0
80,78.07,80,0,0,0,0,0,0,0
81,79.07,81,0,0,0,0,0,0,0
82,80.07,82,0,0,0,0,0,0,0
83,81.07,83,0,0,0,0,0,0,0
84,82.07,84,0,0,0,0,0,0,0
85,83.07,85,0,0,0,0,0,0,0
86,84.07,86,0,0,0,0,0,0,0
87,85.07,87,0,0,0,0,0,0,0
88,86.07,88,0,0,0,0,0,0,0
89,87.07,89,0,0,0,0,0,0,0
90,88.07,90,0,0,0,0,0,0,0
91,89.07,91,0,0,0,0,0,0,0
92,90.07,92,0,0,0,0,0,0,0
93,91.07,93,0,0,0,0,0,0,0
94,92.07,94,0,0,0,0,0,0,0
95,93.07,95,0,0,0,0,0,0,0
96,94.07,96,0,0,0,0,0,0,0
97,95.07,97,0,0,0,0,0,0,0
98,96.07,98,0,0,0,0,0,0,0
99,97.07,99,0,0,0,0,0,0,0
100,98.07,100,0,0,0,0,0,0,0
101,99.07,101,0,0,0,0,0,0,0
102,100.07,102,0,0,0,0,0,0,0
103,101.07,103,0,0,0,0,0,0,0
104,102.07,104,0,0,0,0,0,0,0
105,103.07,105,0,0,0,0,0,0,0
106,104.07,106,0,0,0,0,0,0,0
107,105.07,107,0,0,0,0,0,0,0
108,106.07,108,0,0,0,0,0,0,0
109,107.07,109,0,0,0,0,0,0,0
110,107.44,110,0,0,0,0,0,0,0
111,108.44,111,0,0,0,0,0,0,0
112,109.44,112,0,0,0,0,0,0,0
113,110.44,113,0,0,0,0,0,0,0
114,111.44,114,0,0,0,0,0,0,0
115,112.44,115,0,0,0,0,0,0,0
116,113.44,116,0,0,0,0,0,0,0
117,114.44,117,0,0,0,0,0,0,0
118,114.63,118,0,0,0,0,0,0,0
119,115.63,119,0,0,0,0,0,0,0
120,116.63,120,0,0,0,0,0,0,0
121,117.63,121,0,0,0,0,0,0,0
122,118.63,122,0,0,0,0,0,0,0
123,119.63,123,0,0,0,0,0,0,0
124,120.63,124,0,0,0,0,0,0,0
125,121.63,125,0,0,0,0,0,0,0
126,122.63,126,0,0,0,0,0,0,0
127,123.63,127,0,0,0,0,0,0,0
128,124.63,128,0,0,0,0,0,0,0
129,125.63,129,0,0,0,0,0,0,0
130,126.63,130,0,0,0,0,0,0,0
131,0,132,0,0,0,0,0,0,0
132,1.07,133,0,0,0,0,0,0,0
133,2.16,134,0,0,0,0,0,0,0
134,3,135,0,0,0,0,0,0,0
135,3.9,136,0,0,0,0,0,0,0
136,4.78,137,0,0,0,0,0,0,0
137,5.6,138,0,0,0,0,0,0,0
138,6.28,139,0,0,0,0,0,0,0
